"Speaker Name","Start Time","End Time","Text"
"Nick Herrgott","00:23:00:10","00:23:05:07","Because the thing is, society has been conditioned to fear monsters. They don't give a crap who you kiss."
"Speaker 2","00:23:05:12","00:23:07:01","Yeah, yeah, exactly."
"Nick Herrgott","00:23:07:01","00:23:22:09","That's the things. And there's like a this is a broader sense of what you could talk about and kind of my crusade recently is like, people just need something to be afraid of. Yeah. So they're going to pick something. And that's why this kind of LGB movement is not going to work, because the objective."
"James Somerton","00:23:22:09","00:23:24:08","Quiet since the Supreme Court had the."
"Nick Herrgott","00:23:24:09","00:23:36:20","Objective is to be afraid of people. The objective is to find someone to hate is unity through hatred. Yeah. Um. And it doesn't matter who. If someone's been stamped down, they're going to look for something else."
"James Somerton","00:23:37:04","00:23:48:09","Oh, yeah. Like, if, you know, like, right now, you know, there's that meme going around, like we got rid of the non binaries and the trans is and everything. Who's next. And it's the look, it's like."
"Nick Herrgott","00:23:48:09","00:23:51:03","Yeah, it's, it's the maga hat guy kind of looking and just like."
"James Somerton","00:23:51:12","00:23:52:16","Uh, who's the."
"Nick Herrgott","00:23:52:16","00:23:56:03","Anarchist look the unicorn like, Yeah, yeah. Adam Schlesinger That comic, I think. Right."
"James Somerton","00:23:56:07","00:23:56:16","I'm not."
"Nick Herrgott","00:23:56:16","00:23:57:08","Sure. Okay."
"James Somerton","00:23:57:12","00:24:03:07","But it's, it's, it's like gone viral because like, people are just like, this is going to happen. This is going to happen. And then the horrible."
"Nick Herrgott","00:24:03:07","00:24:08:08","Thing is that that happened before any of this was under discussion in the Supreme Court."
"James Somerton","00:24:09:00","00:24:29:03","Oh, yeah. And like everybody knew everybody knew it was going to happen. And now it is. And, you know, it's it is happening. This is it is honestly, to me, I think. And, you know, it's horrible that this happened with the Supreme Court. I hate that America is going through such a shitstorm right now, especially after like the Obama years where it seemed like things were getting better."
"Nick Herrgott","00:24:29:03","00:24:31:01","Americans deserve better than America."
"James Somerton","00:24:31:04","00:24:46:04","They did. I tweeted something close to that, but that it's like all you gays. And we're like, fuck the trans is fuck trans people, fuck trans people, nonbinary people, fuck them. Fucking fuck them. Yeah. How'd the Supreme Court take down?"
"Nick Herrgott","00:24:46:05","00:24:46:14","Yeah."
"James Somerton","00:24:46:22","00:24:51:10","They took down you. They? Yeah. Like, yeah, the hate. The trans cases haven't come yet."
"Nick Herrgott","00:24:51:15","00:24:57:15","Hmm. Yours did. But this was always going to happen. Yeah, this was all we put out. A video of several."
"Speaker 2","00:24:57:23","00:24:59:12","Multiple one of you."
"Nick Herrgott","00:24:59:12","00:25:07:13","All complaining that we're too negative lately. It's like we were kind of. We're too homophobic. One homosexual man in a person, vaguely."
"Speaker 2","00:25:08:18","00:25:09:08","In a vague."
"James Somerton","00:25:09:08","00:25:10:18","And a vague and insane shape."
"Speaker 2","00:25:11:13","00:25:11:18","Of a."
"Nick Herrgott","00:25:11:18","00:25:12:10","Person."
"Speaker 2","00:25:12:17","00:25:13:06","We're having a."
"Nick Herrgott","00:25:13:06","00:25:14:19","Mental breakdown from over here."
"Speaker 2","00:25:14:19","00:25:18:06","Being like, just like both."
"Nick Herrgott","00:25:18:06","00:25:36:00","Of us. So much of our dreams are kind of wrapped up in this vague idea of America. Like you have your Hollywood, Hollywood. It's impossible to publish in Canada. So of course I want to be tethered to America because that's where a large audiences and yeah, you know, like, you know, Marina Diamandis once said, I'm obsessed with the mess that's America."
"Nick Herrgott","00:25:37:06","00:25:55:09","I don't I feel bad. And, you know, once again, followers chime in because I really don't know. I've kind of gotten a little bit of terrified out of her. Mm. I don't know. I don't want to assume that about her because she's been such a sweetheart for the rest of her career. But yeah, whenever more recent albums, there were a few lyrics in there and I was like, Mm hmm."
"Nick Herrgott","00:25:55:09","00:26:00:23","Like, and I can see, like, there is a way you could be coming from this that is supportive, but this also could be a dog whistle."
"James Somerton","00:26:01:00","00:26:03:11","Well, it's always it's always you never know."
"Nick Herrgott","00:26:03:18","00:26:06:18","And I want to give her the benefit of the doubt. That's the thing. Because I think that well."
"James Somerton","00:26:06:18","00:26:17:17","That's that's kind of what happened with Bette Midler is Bette Midler said some terrific stuff and a lot of people were like, you know, canceled. But oddly, a lot of trans people were like, give her a minute."
"Nick Herrgott","00:26:17:17","00:26:18:02","Yeah."
"James Somerton","00:26:18:10","00:26:21:07","And then she immediately came out was like, well, I'm a fucking idiot, really?"
"Nick Herrgott","00:26:21:10","00:26:28:23","Because Bette Midler has a history of, like, being a loud mouth. Yeah. Like saying things before she really realizes it and then realizing, Oh, well, I have been correct."
"James Somerton","00:26:28:23","00:26:43:19","And as far as I know, she's corrective incorrect. She has really reversed everything that she said before Hocus Pocus two came out. She didn't say anything like Rowling ask anything like that. It was just like it was like."
"Nick Herrgott","00:26:44:10","00:26:53:03","But it's one of those things. Phrasing. Yeah, it's one of those things like there needs to be a specific word for this. Aside from dog whistling, it's like, I could read this either way in this person, I don't know."
"Speaker 2","00:26:53:03","00:26:53:16","Like, yeah."
"James Somerton","00:26:53:20","00:27:06:13","And it's like, you know, Bette Midler is and has been an ally for a very long time. And it is so, you know, it's figuring out like who's being malicious and who's just who's being so flippant."
"Nick Herrgott","00:27:06:13","00:27:10:01","Yeah. Yeah. And, you know, you and I are both very flippant people."
"James Somerton","00:27:10:04","00:27:17:17","Yeah. And I've said things on stream and people in the chat are immediately like, James, you want to take that back?"
"Nick Herrgott","00:27:18:18","00:27:20:06","I been there for that."
"James Somerton","00:27:20:06","00:27:28:04","So it's nothing like super duper offensive. It's mostly just like, like, like just talking too much."
"Speaker 2","00:27:28:08","00:27:28:17","Yeah."
"Nick Herrgott","00:27:29:06","00:27:41:10","So like, like I saying, I was like, what the Mrs. America like, so, like, I a multiple of my book ideas take place in America and like, I don't really know how to respond to that with America kind of falling apart the way that it is."
"James Somerton","00:27:41:11","00:27:41:17","Yeah."
"Nick Herrgott","00:27:42:02","00:27:44:18","Um, aside from just, you know, keep checking on."
"James Somerton","00:27:45:08","00:28:07:01","Well, yeah. And, you know, it's with Nimona in it, it's oddly timely because, you know, it's this story of a large group of people just looking for something to be afraid of. Yeah. And the power structure saying, let's give you something to be afraid of. Because if you're afraid, it's so much easier for."
"Nick Herrgott","00:28:07:01","00:28:18:17","Us to not control. But she kind of becomes the monster that they accuse her of. Yeah, because she's just pushed into that territory like there's nothing else to do, which is actually kind of a theme of the next novel in my book."
"Speaker 2","00:28:18:17","00:28:20:18","But it's the next couple."
"James Somerton","00:28:21:23","00:28:29:05","And I do have to say Chloe Grace Moretz, who voiced Nimona. Yeah, Yeah. You know. 30 Rock alum."
"Nick Herrgott","00:28:29:17","00:28:40:07","Yeah. Oh, yeah. Well, she was the queen of fortune for a brief time, so there was contention between her and Boxy. And then I couldn't really I didn't stick around for Jane for long enough to figure out who won that I've."
"James Somerton","00:28:40:07","00:28:56:05","Never been on Fortune. It's but she did she did such a good job with the voice work. Everyone did it. I was I was really shocked when I was going through the credits because I didn't I didn't realize it was Eugene from the dry guys. First of all, I was like, Oh, he can be really good voice actor."
"Nick Herrgott","00:28:57:12","00:29:01:22","Well, I kind of felt he was the weaker of the collection. There were a few line deliveries."
"James Somerton","00:29:02:05","00:29:15:19","And the thing is, like, I've watched a lot of try guys videos. It didn't, it wasn't him. Yeah, like it wasn't his personality. RuPaul and and Indya Moore have voiced cameos as news broadcasters. I was like, Wow, they cleared the hell out of this."
"Nick Herrgott","00:29:15:19","00:29:28:14","Yeah. And so, like, they weren't trying to make it ambiguous. They were doing, you know, queer in front of and behind the camera. They were doing allegory. This was allegorical trans representation. Okay, good. We got this. Let's not keep going with allegory."
"James Somerton","00:29:29:06","00:29:37:09","Yeah, actual right. It's like, okay, there is an allegorical trans representation. We're not going to do allegorical gay representation. So boys kissing."
"Nick Herrgott","00:29:37:09","00:29:39:00","Yeah, we don't need that anymore."
"James Somerton","00:29:39:00","00:29:51:09","Like, it's like, Come on, come on. It's 20, 23. Jesus Christ. Yeah. And it was just really shocking. Like, there's been so much good animation this year with Puss in Boots and Spider-Man."
"Nick Herrgott","00:29:51:10","00:29:53:10","An American animation renaissance."
"James Somerton","00:29:53:11","00:29:58:22","Like, I think animation American animation is finally saying, we don't have to just be for."
"Nick Herrgott","00:29:58:22","00:29:59:09","Kids."
"James Somerton","00:30:00:01","00:30:17:03","And, you know, there's always been American animation that's done that Ralph Bakshi and stuff like that. But it's always kind of been like South Park adjacent where it's like it's not just for kids, but kids can't watch it now. It's kind of all ages means, yeah, your ten year old can watch it and you 40 year olds can watch it and enjoy it."
"Nick Herrgott","00:30:17:03","00:30:23:08","So very mature for a kid show to like it. Oh, yeah. Access it Like it's like we say about Star Wars. It's kid accessible."
"James Somerton","00:30:23:08","00:30:26:11","Yeah. Like there was a little bit of blood. Not much. There was a spurt that was it."
"Nick Herrgott","00:30:27:05","00:30:28:22","Was a juice box."
"James Somerton","00:30:30:07","00:30:50:11","No, no. When when she got hit, right? When she took the arrow to the knee, there was like he pulled it out a little and spurted and. Yeah. But there was like there was some violence. There was, you know, there was no cursing, no, there was no nothing sexual. Almost cursing almost at the very end. Yeah, there was nothing sexual."
"James Somerton","00:30:50:11","00:30:55:12","The closest thing to sex was a leg, a quick peck between the two guys at the very end."
"Nick Herrgott","00:30:56:11","00:31:00:13","And a lot of very strong sexual tension. Sexual tension?"
"Speaker 2","00:31:00:13","00:31:01:19","Continued tension."
"James Somerton","00:31:01:19","00:31:02:03","Yes."
"Nick Herrgott","00:31:02:16","00:31:09:00","Oh, I. Yeah, I understand why they brought them back together at the end, but I'm still like, I wouldn't know if I. If."
"James Somerton","00:31:09:17","00:31:15:12","If I had my extra half hour, I would have had like the sort of Daniel Marshall where he's like."
"Nick Herrgott","00:31:15:13","00:31:17:02","There's a lot of broken trust."
"James Somerton","00:31:17:02","00:31:20:14","Hi. Can I come in? No, just like."
"Nick Herrgott","00:31:20:18","00:31:22:01","We're not. We're not there."
"James Somerton","00:31:22:01","00:31:31:04","Yet. Like, Yeah, like make him kind of earn his way back in. And, like, he was hot, though, so I get it. But at the same time, I'm like, he was."
"Nick Herrgott","00:31:31:04","00:31:49:00","Hot, but privileged and like. Like very pretty. But that's the thing that this, this also didn't explore in a way that I wish I wish if it was longer than it could have, because they could have explored that wealth dichotomy. Because I've heard this. Yes, I brought this up before, but I've heard from multiple people, poor people being like, Yeah, I dated a rich guy once."
"Nick Herrgott","00:31:49:00","00:31:54:20","He asked what my favorite cheese was. I didn't know what to answer. I said cheddar, and he looked egregiously offended."
"James Somerton","00:31:55:21","00:31:59:13","I was going to say brioche. That's not cheese, that's bread. But like."
"Nick Herrgott","00:31:59:13","00:32:01:14","Like that Brie."
"James Somerton","00:32:01:14","00:32:02:03","Is cheese."
"Nick Herrgott","00:32:02:03","00:32:03:00","Though. He is."
"James Somerton","00:32:03:02","00:32:03:19","I don't like it."
"Nick Herrgott","00:32:05:08","00:32:12:15","So, like. Like that kind of dichotomy. Like, I kind of I talked about this in the tragedy being rich. Yeah. The idea of like."
"James Somerton","00:32:12:15","00:32:17:05","Which is the young Royals video Young Royals season three has just wrapped so watch tragedy of being right."
"Nick Herrgott","00:32:17:05","00:32:33:14","There. There is like this compulsive incompatibility between rich and poor people that there needs to be a lot of work to get over. Yeah. In a way that rich people just do fundamentally do not understand how poor people function or how you can function any other way."
"James Somerton","00:32:33:17","00:33:02:09","And there's also, you know, there is also from the poor perspective, I think for a lot of people, you know, for a lot of poor people, it's like I got I can have a rich boyfriend, fuck, yes. But a lot of people who have like dated someone who has money, huge inadequacy. Yeah. Like I've talked to people who they they think I'm, like, super rich because I have a semi-successful YouTube channel and they find out I have like, they see my YouTube channel and they see like, wow, 300,000 subscribers."
"James Somerton","00:33:02:15","00:33:15:19","They immediately think I'm like, fucking Jenna marbles over here. Yeah, yeah. And it get they get quiet and it seems like there's a power imbalance and I'm like, I, it's, I probably make less money than you do."
"Speaker 2","00:33:16:01","00:33:17:13","Yeah. Like so."
"Nick Herrgott","00:33:18:04","00:33:18:12","Yeah."
"James Somerton","00:33:18:12","00:33:20:03","And power imbalance isn't there."
"Speaker 2","00:33:20:13","00:33:20:16","Yeah."
"Nick Herrgott","00:33:21:02","00:33:29:15","Um, so that wasn't in there and that was, it was hinted. But again, like another reason, like if you were going to explore the reason why they would separate."
"James Somerton","00:33:29:18","00:33:44:04","I think they were kind of like we are. I feel like the thought process was probably like we've got gay nights and we've got a trans or gender queer allegory. Let's not muddle that down with economic issues. Yeah."
"Nick Herrgott","00:33:45:05","00:33:47:06","Because it was kind of fun. Like with the mistrust of."
"James Somerton","00:33:47:06","00:34:11:00","The past, it was trust touched on. But like, I think that's something they could do in a sequel because it's like, okay, you know, these characters are queer now you get it. You know, this character can switch genders and I can do anything that they want. So we can deal with something that like, okay, the basically the church is gone now, but there's still a very ingrained mistrust."
"Nick Herrgott","00:34:11:00","00:34:11:19","Of the poor."
"James Somerton","00:34:11:20","00:34:14:04","Yeah. And like that could be very good sequel."
"Nick Herrgott","00:34:14:04","00:34:14:15","Fodder."
"James Somerton","00:34:15:16","00:34:24:18","Because it's like, you know, what kind of monster grows out of, you know, that kind of. Yeah. Hatred toward the someone lesser than you. Yeah."
"Nick Herrgott","00:34:25:10","00:34:25:19","One thing I."
"James Somerton","00:34:25:19","00:34:28:19","Did, the allegorical monster being worse than the actual monster kind."
"Nick Herrgott","00:34:28:19","00:34:42:05","Of thing. One thing I wish there was more because there was this one we touched on briefly was planting mistrust of everyone when it was kind of revealed that What's her name? Not Loretta. Loretta No. Shapeshifter girl."
"James Somerton","00:34:42:17","00:34:43:05","Nimona."
"Nick Herrgott","00:34:43:06","00:34:43:19","Nimona."
"James Somerton","00:34:44:00","00:34:44:15","It's the movie."
"Nick Herrgott","00:34:45:02","00:34:57:19","Name. I know. I completely blanked when it kind of found out that she can. She's a shape shifter. She started to be like, Oh, she could be anyone. And then, like, you know, you saw people being mistrustful of each other, backing."
"James Somerton","00:34:57:19","00:34:58:12","Away from their friends."
"Nick Herrgott","00:34:58:13","00:35:04:21","I would like I would have liked to see more of that. Maybe a specific reference to being mistrusting someone inside the public bathroom."
"Speaker 2","00:35:04:21","00:35:05:17","Like, yeah."
"Nick Herrgott","00:35:06:16","00:35:09:02","Kind of getting a little bit deeper into that."
"James Somerton","00:35:09:02","00:35:12:15","I mean, I can understand why they wouldn't want to deal with the bathroom thing specifically."
"Nick Herrgott","00:35:12:18","00:35:16:16","Yeah, but like having this kind of more specific interests, but like, oh, anyone could be trans."
"James Somerton","00:35:16:22","00:35:21:01","And again, that's why I'm like, you know, an extra 20 to an extra 20 or 30 minutes into the movie. Yeah."
"Nick Herrgott","00:35:21:08","00:35:27:01","But they were expensive at that point. They were actually running low on time. That was coming. That was at the beginning of the third act."
"James Somerton","00:35:27:02","00:35:28:17","Yeah, I like that kind of so they."
"Nick Herrgott","00:35:28:17","00:35:30:13","Had to get this ball rolling."
"James Somerton","00:35:30:17","00:35:44:04","And keeping in mind as well, like length, like I'm like, Oh, they should have done another half hour. They were abandoned by Disney and left to fend for themselves with an independent production company. They so they probably didn't have a ton of money in animation as."
"Nick Herrgott","00:35:44:04","00:35:50:03","Expected, like all of these gaps, I guess. And I'm willing to forgive it's for for this reason because it didn't really feel like the movie was missing anything."
"James Somerton","00:35:50:05","00:35:53:18","No, it wasn't missing exactly. It didn't feel like it was missing anything."
"Nick Herrgott","00:35:54:01","00:36:00:18","But I'm just pointing out things that they kind of put their toe into a little bit so they could have expanded if they wanted to."
"James Somerton","00:36:00:18","00:36:18:04","Yeah. And I'm kind of looking at it as like, everybody go watch it. So we got a sequel. Yeah, right. So that the sequel can kind of expand upon this because I would like Riz Ahmed to have more work. He's a very talented actor and he doesn't get paid. He doesn't get working off because he's brown resume and he was in."
"Speaker 2","00:36:20:06","00:36:20:17","Whole."
"James Somerton","00:36:21:00","00:36:30:15","Shit. I forget the movie's name. He was in Rogue One. He was in I forget the name of the movie. I think he got an Oscar nomination for it. Oh, he's."
"Nick Herrgott","00:36:30:15","00:36:37:05","Cute. Yeah, he wasn't Rogue one. I have heard, like, Oscar buzz for him. Oh, it seems like he got an Oscar."
"James Somerton","00:36:37:23","00:36:45:19","Oh. Oh, he did win an Oscar. Yeah. Yeah, that was. I forget what that was for, I think. I think that was for the Jake Gyllenhaal movie."
"Nick Herrgott","00:36:46:10","00:36:49:19","Yeah, Maybe. I mean, Academy Award winner resume ADD. Yeah."
"James Somerton","00:36:50:23","00:36:56:23","And for. Oh, also for people who know who she is. Frances Conroy. Also, she voices a character in this."
"Nick Herrgott","00:36:57:10","00:37:03:10","And the director, right. Um, the blond woman. Yes."
"James Somerton","00:37:03:12","00:37:19:05","Yeah. And Frances Conroy was on Six Feet Under and she was also, you know, famous for being an American horror story. Balenciaga like playing Myrtle Snow and lots of other characters. But she's been, you know, very famous lately for American Horror Story. She's in there. Oh, that's."
"Nick Herrgott","00:37:19:05","00:37:21:10","Her. I know when I know who Myrtle is."
"Speaker 2","00:37:21:16","00:37:22:00","Yeah."
"James Somerton","00:37:22:20","00:37:34:15","So it's like it's a super queer, inclusive cast. And even the characters that aren't played or played by queer people are played by, like, dyed in the Wool allies. Yeah, yeah, yeah. And it's just it's so refreshing."
"Speaker 2","00:37:34:19","00:37:35:23","To see a movie."
"James Somerton","00:37:36:06","00:37:53:16","Where there's, like, no caveats. There's no the animators were put through hell. There's no, the main actors are shit head. There's no the director sexually assaulted someone, right. There's none of it. It's just like I can just enjoy this. And not only can I just enjoy it, it's gay."
"Nick Herrgott","00:37:53:16","00:38:04:14","Yeah, it's. I was, like, surprised. Like I said, first 5 minutes after the introduction, kind of like Prolog. Like, it's like, Oh, they're there. Oh, they're getting close. Oh, hands are touching. Oh, they're leaning."
"James Somerton","00:38:04:20","00:38:05:21","Yeah. Guys like other lean."
"Speaker 2","00:38:06:04","00:38:08:18","Oh, got his head is on his shoulder and."
"James Somerton","00:38:09:09","00:38:17:13","I'm like, oh my God. They went there and then when they actually had the kiss at the end, I was like, oh they, they beat the urine ice curse. Yeah. Like they, they, they stepped."
"Speaker 2","00:38:17:13","00:38:18:17","Over the line. They do this."
"Nick Herrgott","00:38:20:05","00:38:24:20","I'm not going to lie like, especially because from being on some streams and people being like, your voice is."
"James Somerton","00:38:24:20","00:38:26:16","So, oh I have no problem with your."
"Nick Herrgott","00:38:26:18","00:38:35:21","On. And that's what I mean. Like I want more like urine I swear it's like abundantly apparent, but it's like, you know, never quote unquote confirmed and like yes I want to."
"Speaker 2","00:38:36:11","00:38:36:18","Just."
"James Somerton","00:38:37:10","00:38:52:03","I that's just like my but you're on ice is my like it's obvious but you know, they just stayed behind that one line and I know why because of censorship laws and all that sort of stuff. Not censorship laws. It's the advertising."
"Nick Herrgott","00:38:52:12","00:38:55:15","Well, yeah, not even that. But like, I will push back against that being like."
"James Somerton","00:38:55:16","00:39:00:02","No, it's fine. It's not about it's not about the relationship. It's about you're is kind of just that."
"Nick Herrgott","00:39:00:02","00:39:04:05","But I think it's still qualifying to believe that even if there isn't any kissing because."
"James Somerton","00:39:04:05","00:39:06:04","If anyone says you're on ice and gay as fuck, they're."
"Nick Herrgott","00:39:06:04","00:39:13:04","Not. Yeah, because like guys like, you know, asexual people exist and sometimes they don't like kissing and that doesn't mean they don't like being romantic."
"James Somerton","00:39:13:04","00:39:34:05","And I actually getting very off topic, but I actually really like the fact that there's a lot of people online who are like, you're on the spectrum. Like Yuri is like madly in love with Viktor, but like, you know, Viktor and and Kristoff Kristoff jump in bed with them. And his first thought is your, your, your feet are cold."
"James Somerton","00:39:34:13","00:39:39:15","So it's like that is not, you know, horny, horny 20 year old. Yeah. Activity."
"Speaker 2","00:39:39:16","00:39:40:01","Yeah."
"Nick Herrgott","00:39:41:11","00:39:59:03","I like and that's okay. Like you don't and that's what I like like you say about lots of things that doesn't indie dicks and that's for it to qualify as gay like yeah if we're trying to present queer experiences, then we need to. Brod I hate saying that because like, we need to broaden our definition of what qualifies as queer experience because then we get more of this allegorical bullshit."
"James Somerton","00:39:59:10","00:40:10:14","With Nimona, we don't get the allegorical with, with trans and non-binary gender queer kind of stuff. We there is a bit of an allegory there, but with the gay stuff, it is right there."
"Nick Herrgott","00:40:10:14","00:40:14:23","Yeah. Because I don't dislike allegory and I think that it's useful and I don't. I hate."
"James Somerton","00:40:14:23","00:40:16:04","That you're not talking."
"Nick Herrgott","00:40:16:13","00:40:29:06","Right. Like I like seeing allegory. But at the same time, I also don't think that I think that hiding behind allegory is bad. So, yes, we got Nimona, it's very trans and gender nonbinary, non-conforming, and."
"James Somerton","00:40:29:06","00:40:32:03","Like Indya Moore, who is not gender."
"Speaker 2","00:40:32:03","00:40:32:16","Queer."
"Nick Herrgott","00:40:32:18","00:40:34:03","Or I think gender."
"James Somerton","00:40:34:03","00:40:36:19","Or non-binary gender fluid."
"Nick Herrgott","00:40:36:19","00:40:39:23","I think I think nonbinary non-binary is the umbrella definition."
"James Somerton","00:40:40:08","00:40:40:17","Okay."
"Nick Herrgott","00:40:42:05","00:40:44:00","I was hearing fireworks in the background."
"James Somerton","00:40:44:01","00:40:45:03","Because it's Canada."
"Speaker 2","00:40:45:03","00:40:45:23","Today."
"James Somerton","00:40:46:09","00:40:48:02","Um, we haven't left the house."
"Nick Herrgott","00:40:48:09","00:40:50:06","We haven't. It was raining for most of today."
"James Somerton","00:40:50:07","00:41:05:11","Yeah. Nick slept over last night so that we could do movie stuff. We did. We have there's going to be a video coming out in a couple of days, kind of talking about some Tello stuff. So look forward to that. So it's going to come out for for patrons as well. It's not like a video essay or anything."
"James Somerton","00:41:05:11","00:41:05:19","It's just some."
"Nick Herrgott","00:41:05:19","00:41:30:14","Explanations. So we're talking about, yeah, like allegories. So like we got Nimona and it's great, but we shouldn't keep hiding behind this because one thing that happens with these allegorical representations and I've had to take some people close to me to task for this, is it gets into the cycle of No, it was about like monsters. It was about like, you know, it wasn't specifically oh sure, non-binary people can be included, but this movie was about weirdos in general and."
"James Somerton","00:41:30:14","00:41:37:21","Even with like there was so much like, I can see how you could see this is a gay experience, but it's really just about Monster boys."
"Nick Herrgott","00:41:37:21","00:41:38:13","It's like it's a."
"James Somerton","00:41:38:17","00:41:40:02","Bunch of little queer."
"Speaker 2","00:41:40:21","00:41:41:21","A little weird."
"Nick Herrgott","00:41:43:07","00:41:44:18","They're trying to hide their colors."
"Speaker 2","00:41:45:04","00:41:46:06","Like, ah, Dahmer."
"James Somerton","00:41:49:00","00:41:58:04","But like right now with Nimona, like, I hope it takes off because it was, like, so much fun. But like, even on Rotten Tomatoes, it's got a 94% right."
"Nick Herrgott","00:41:58:04","00:41:59:20","Now for animations. That's weird."
"Speaker 2","00:42:00:02","00:42:01:12","And it's even."
"James Somerton","00:42:01:19","00:42:04:01","It's 94% among critics and."
"Speaker 2","00:42:04:01","00:42:05:14","Audiences. That never."
"Nick Herrgott","00:42:05:14","00:42:06:00","Happens."
"James Somerton","00:42:06:16","00:42:31:08","Like it is such a fun and just like especially with all the stuff that's going on, all the crap that's going on for queer people all over the goddamn globe. Yeah, that there is this animated movie on Netflix that you can watch and just enjoy is like, and I want to give a shout out to the show Glamorous, which is also also just came out on Netflix, which is another extremely queer thing on Netflix."
"Nick Herrgott","00:42:31:09","00:42:32:13","Making up for Dave Chappelle."
"James Somerton","00:42:33:10","00:42:45:16","Right that you can just watch and enjoy. And like most of the cast of Glamorous are people of color. Like it's like Kim. I think I think Kim Cattrall is like the only like white person in the cast."
"Nick Herrgott","00:42:45:16","00:42:47:12","And, you know, we we kind of stand her."
"James Somerton","00:42:47:21","00:43:07:02","Oh, yeah. Like she can she can do whatever she wants and like, yeah, Netflix is kind of making up for lost time, but it's like advertising is things like glamorous. They get quite a bit of advertising. It looks like there's probably going to be a season two. It's done quite well, but like I haven't seen maybe it's maybe, you know, in like animation circles and stuff."
"James Somerton","00:43:07:02","00:43:10:04","Nimona is like very well known, but like took."
"Nick Herrgott","00:43:10:04","00:43:13:12","The first Spider-Verse movie a little bit to kind of get word of mouth out there."
"James Somerton","00:43:13:17","00:43:30:00","Yeah. And like, I wouldn't expect like, oh, in a month or two in a month, they're going to announce a sequel. Like with movies, you can take more time than with TV shows because scheduling for a movie is much different, especially for animation, because you can be like, Oh, resume AD can only come in on this week and Chloe Grace Moretz can only come in and this week it doesn't matter."
"James Somerton","00:43:30:00","00:43:34:21","They're they're not acting together, they're in a booth, you know, it's just animators."
"Nick Herrgott","00:43:34:21","00:43:35:03","And yeah."
"James Somerton","00:43:35:03","00:43:53:05","Yeah. So far nothing has come out saying that the animators were like, tortured, tortured and, you know, put on the rack and stuff. So, you know, that's nice because everything else, apparently the animators are just treated like shit. Yeah, it's like, Oh my God, the animators need a union."
"Nick Herrgott","00:43:53:18","00:43:55:03","So many things and the union."
"James Somerton","00:43:55:22","00:44:02:13","YouTubers need a union. But yeah, it is. It was surprisingly good. I was very."
"Nick Herrgott","00:44:02:20","00:44:10:03","Very I went in with high expectations because of the Rotten Tomatoes score, I'll be honest like, and you know, my expectations were met."
"James Somerton","00:44:10:06","00:44:35:01","I kind of went in thinking like, okay, it's a kid's movie and expecting a good kid's movie. So I was a little shocked at how it it didn't like break out of the mold. It's not like it's not a kid's movie. Yeah, but it's stretched. It's yeah, it's like it is still perfectly fine for kids to watch and really good for them."
"James Somerton","00:44:35:10","00:44:36:15","There's really good message. And it took."
"Nick Herrgott","00:44:36:15","00:44:42:14","A run up to the Shrek franchise and spin offs as far as violence went, it was a little bit more violent. Graphically, it was."
"James Somerton","00:44:42:20","00:44:44:15","Closer to Puss in Boots."
"Nick Herrgott","00:44:44:15","00:44:45:02","Yes."
"James Somerton","00:44:45:02","00:44:45:18","Than Shrek."
"Nick Herrgott","00:44:45:18","00:44:54:18","I think it really went even. It was either the good puss targeting Puss in Boots, because Puss in Boots didn't show much violence against like, people. Yeah. Villains."
"James Somerton","00:44:54:20","00:44:55:05","Yeah."
"Nick Herrgott","00:44:55:18","00:44:58:22","But this was very much like, you know, like we're bastions and skulls."
"James Somerton","00:44:59:01","00:44:59:10","Yeah."
"Nick Herrgott","00:44:59:11","00:45:00:09","Violence."
"James Somerton","00:45:00:15","00:45:09:12","Like stabbing people. Yeah. And stuff like that Caused quite a bit of people got run through with swords, actually. Yeah, But, you know, just the one spurted blood."
"Speaker 2","00:45:09:20","00:45:10:01","Yeah."
"James Somerton","00:45:10:16","00:45:12:07","But yeah, like if you had it was."
"Nick Herrgott","00:45:12:07","00:45:14:06","Off screen and it wasn't from a wound."
"James Somerton","00:45:14:17","00:45:16:23","Well it was from a wound you just didn't see coming out of that."
"Nick Herrgott","00:45:16:23","00:45:20:11","That's what I mean. Like that the, the visuals didn't show it coming from a movie."
"James Somerton","00:45:20:11","00:45:28:00","And another thing I've got to say is the visuals for Pneumonias Face had me in stitches multiple times throughout the movie."
"Nick Herrgott","00:45:28:00","00:45:30:12","So much good visual comedy for that."
"James Somerton","00:45:30:12","00:45:33:03","Yeah. And Chloe Grace Moretz again, did a fantastic job."
"Nick Herrgott","00:45:33:05","00:45:35:11","Everyone did needs to get more work."
"James Somerton","00:45:35:13","00:45:54:15","She does. She keeps doing movies that aren't successful and people blame it on her. And she's like, I'm like, it's not her fault that the Carrie remake didn't do well. But yeah, you should definitely check it out. Like if you like animation, if you like gay stuff, queer stuff, you should definitely check it out. It is absolutely worth watching."
"James Somerton","00:45:54:22","00:46:09:03","I Think it was a great movie to start this new podcast Podcast's podcast off with. This'll be the podcast will be coming out on July 5th because there's no point in releasing it before on July 4th weekend. Y'all are."
"Speaker 2","00:46:09:03","00:46:09:15","Busy."
"James Somerton","00:46:10:23","00:46:23:04","So this will be coming out July 5th. We're recording it on the first, so there'll be another one next week and we're going to keep doing this because we got a lot of movies to get through and I think this is a great way to start it off."
